title,calendarium_romanum,cantus,romcal
"Gregory the Great, pope and doctor",gregory_great,14031200,saintGregoryTheGreatPopeAndDoctor
Guardian Angels,guardian_angels,,guardianAngels
"Hedwig, religious",hedwig,14101640,saintHedwigReligiousSaintMargaretMaryAlacoqueVirgin
Henry,henry,14071300,saintHenryBishopAndMartyr
"Hilary of Poitiers, bishop and doctor",hilary,14011400,saintHilaryOfPoitiersBishopAndDoctor
"Hildegard of Bingen, Virgin and Doctor of the Church",hildegard,14091701,
"Holy Innocents, martyrs",innocents,2122800,holyInnocentsMartyrs
Holy Name of the Blessed Virgin Mary,bvm_name,14090811,holyNameOfTheBlessedVirginMary
"Ignatius of Antioch, bishop and martyr",ignatius_of_antioch,14020110,saintIgnatiusOfAntiochBishopAndMartyr
"Ignatius of Loyola, priest",ignatius_of_loyola,,saintIgnatiusOfLoyolaPriest
Immaculate Conception of the Blessed Virgin Mary,bvm_immaculate,14120800,
"Irenaeus, bishop and martyr",irenaeus,,saintIrenaeusBishopAndMartyr
"Isidore, bishop and doctor of the Church",isidore,,saintIsidoreOfSevilleBishopAndDoctorOfTheChurch
"James, apostle",james,14072500,saintJamesApostle
"Jane Frances de Chantal, religious",de_chantal,,saintJaneFrancesDeChantalReligious
"Januarius, bishop and martyr",januarius,14091900,saintJanuariusBishopAndMartyr
"Jean Vianney (the Curé of Ars), priest",vianney,,saintJeanVianneyTheCureOfArsPriest
"Jerome Emiliani, priest",jerome_emiliani,,saintJeromeEmilianiSaintJosephineBakhitaVirgin
"Jerome, priest and doctor",jerome,14093000,saintJeromePriestAndDoctor
"John Baptist de la Salle, priest",de_la_salle,,saintJohnBaptistDeLaSallePriest
"John Bosco, priest",bosco,,saintJohnBoscoPriest
"John Chrysostom, bishop and doctor",john_chrysostom,14012700,saintJohnChrysostomBishopAndDoctor
"John Damascene, priest and doctor",john_damascene,,saintJohnDamascenePriestAndDoctor
"John De Avila, Priest and Doctor of the Church",john_de_avila,,
"John Eudes, priest",eudes,,saintJohnEudesPriest
"John I, pope and martyr",john_i,,saintJohnIPopeAndMartyr
"John Leonardi, priest",leonardi,,
"John Paul II, pope",john_paul_ii,,popeSaintJohnPaulII
